Time,Area,Mean,Mode,Min,Max,Perim.,Circ.,Feret,IntDen,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.008,171.500,171,171,172,0.276,1.000,0.145,1.449,343,14,5,6,153.435,0.065,2.000,0.500,1.000
2,0.004,177.000,177,177,177,0.184,1.000,0.092,0.748,177,15,5,6,135.000,0.065,1.000,1.000,1.000
3,0.008,191.000,186,186,196,0.276,1.000,0.145,1.614,382,16,5,6,153.435,0.065,2.000,0.500,1.000
4,0.021,232.000,240,191,290,0.460,1.000,0.234,4.901,1160,18,5,8,33.690,0.130,1.553,0.644,0.909
5,0.017,222.500,192,192,250,0.368,1.000,0.184,3.760,890,19,5,6,135.000,0.130,1.000,1.000,1.000
6,0.025,235.000,201,201,272,0.498,1.000,0.234,5.957,1410,20,4,6,146.310,0.130,1.500,0.667,1.000
7,0.030,207.857,171,171,243,0.590,1.000,0.291,6.147,1455,21,4,6,153.435,0.130,1.936,0.517,0.933
8,0.021,211.600,188,188,240,0.460,1.000,0.234,4.470,1058,22,5,8,33.690,0.130,1.553,0.644,0.909
9,0.025,193.000,169,169,225,0.498,1.000,0.234,4.893,1158,23,4,6,146.310,0.130,1.500,0.667,1.000
10,0.030,225.000,178,178,274,0.643,0.898,0.291,6.654,1575,24,4,6,153.435,0.184,1.668,0.600,0.778
11,0.021,213.000,184,184,232,0.498,1.000,0.234,4.500,1065,25,4,6,146.310,0.130,1.553,0.644,0.909
12,0.013,198.667,187,187,215,0.406,0.967,0.206,2.518,596,26,4,6,161.565,0.065,3.000,0.333,1.000
13,0.034,204.250,172,172,258,0.682,0.914,0.291,6.904,1634,27,4,6,153.435,0.195,1.554,0.644,0.800
14,0.038,207.333,170,170,265,0.643,1.000,0.291,7.884,1866,28,4,8,26.565,0.195,1.340,0.746,0.857
15,0.034,234.000,186,186,309,0.643,1.000,0.268,7.909,1872,29,4,6,165.964,0.195,1.195,0.837,0.800
16,0.030,212.429,171,171,254,0.628,0.943,0.291,6.283,1487,30,4,6,153.435,0.130,1.936,0.517,0.933
17,0.034,256.500,173,173,376,0.590,1.000,0.276,8.670,2052,31,4,8,45.000,0.195,1.229,0.814,0.941
18,0.025,228.500,192,192,273,0.498,1.000,0.234,5.792,1371,32,5,6,146.310,0.130,1.500,0.667,1.000
19,0.030,213.857,172,172,269,0.590,1.000,0.234,6.325,1497,33,5,5,123.690,0.195,1.069,0.936,0.875
20,0.034,226.250,181,181,297,0.643,1.000,0.268,7.647,1810,34,4,6,165.964,0.195,1.195,0.837,0.800
21,0.038,228.889,173,173,289,0.643,1.000,0.325,8.703,2060,35,4,5,143.130,0.195,1.817,0.550,0.857
22,0.038,221.111,172,172,304,0.628,1.000,0.276,8.408,1990,36,4,5,135.000,0.195,1.000,1.000,1.000
23,0.042,231.900,170,170,328,0.720,1.000,0.291,9.798,2319,37,4,6,153.435,0.195,1.236,0.809,0.909
24,0.059,225.929,189,170,301,0.850,1.000,0.379,13.364,3163,38,4,5,149.036,0.195,1.662,0.602,0.966
25,0.042,227.200,170,170,292,0.682,1.000,0.291,9.599,2272,39,4,6,153.435,0.195,1.384,0.723,0.909
26,0.042,271.900,173,173,442,0.720,1.000,0.291,11.488,2719,40,4,6,153.435,0.195,1.236,0.809,0.909
27,0.030,261.714,204,204,348,0.590,1.000,0.234,7.740,1832,41,5,6,123.690,0.195,1.069,0.936,0.875
28,0.038,324.556,181,181,498,0.682,1.000,0.291,12.341,2921,42,4,6,153.435,0.195,1.340,0.746,0.857
29,0.046,330.000,182,182,564,0.720,1.000,0.325,15.337,3630,43,5,5,143.130,0.195,1.372,0.729,0.957
30,0.051,260.333,177,177,392,0.812,0.967,0.350,13.199,3124,44,4,6,158.199,0.195,1.579,0.633,0.889
31,0.055,294.077,173,173,495,0.812,1.000,0.379,16.152,3823,45,4,5,149.036,0.195,1.735,0.576,0.929
32,0.046,298.091,169,169,468,0.720,1.000,0.325,13.854,3279.000,46,5,5,143.130,0.195,1.372,0.729,0.957
33,0.051,254.917,171,171,384,0.827,0.931,0.350,12.924,3059,47,4,8,21.801,0.260,1.436,0.696,0.774
34,0.038,246.667,170,170,347,0.643,1.000,0.291,9.379,2220,48,5,8,26.565,0.195,1.340,0.746,0.857
35,0.046,265.727,185,185,382,0.773,0.976,0.350,12.350,2923,49,4,6,158.199,0.195,1.772,0.564,0.846
36,0.038,241.000,183,183,334,0.643,1.000,0.291,9.164,2169,50,5,8,26.565,0.195,1.340,0.746,0.857
37,0.046,238.000,186,177,318,0.773,0.976,0.350,11.061,2618,51,4,6,158.199,0.195,1.772,0.564,0.846
38,0.042,226.400,172,172,316,0.682,1.000,0.291,9.565,2264,52,5,5,153.435,0.195,1.236,0.809,0.909
