Time,Area,Mean,Mode,Min,Max,Perim.,Circ.,Feret,IntDen,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.034,215.875,191,191,250,0.682,0.914,0.268,7.297,1727,2,10,10,104.036,0.195,1.195,0.837,0.800
2,0.017,196.500,194,192,206,0.368,1.000,0.184,3.321,786,3,9,11,135.000,0.130,1.000,1.000,1.000
3,0.017,203.000,188,188,224,0.498,0.857,0.206,3.431,812,5,10,10,108.435,0.130,1.468,0.681,0.800
4,0.021,214.800,206,206,239,0.498,1.000,0.234,4.538,1074,6,10,10,123.690,0.130,1.553,0.644,0.909
5,0.017,200.000,191,191,207,0.368,1.000,0.184,3.380,800,7,10,11,135.000,0.130,1.000,1.000,1.000
6,0.017,197.250,188,188,203,0.368,1.000,0.184,3.334,789,8,9,12,135.000,0.130,1.000,1.000,1.000
7,0.021,205.800,186,186,220,0.498,1.000,0.234,4.348,1029,9,9,11,146.310,0.130,1.553,0.644,0.909
8,0.017,200.750,190,190,218,0.498,0.857,0.206,3.393,803,10,10,10,108.435,0.130,1.468,0.681,0.800
9,0.046,232.727,190,190,279,0.720,1.000,0.325,10.816,2560,11,8,11,143.130,0.195,1.372,0.729,0.957
10,0.042,221.300,186,186,258,0.720,1.000,0.291,9.350,2213,12,8,11,153.435,0.195,1.236,0.809,0.909
11,0.051,275.083,194,194,390,0.812,0.967,0.379,13.947,3301,13,8,10,149.036,0.195,1.939,0.516,0.889
12,0.051,232.000,199,191,318,0.735,1.000,0.291,11.762,2784,14,10,9,116.565,0.260,1.000,1.000,0.857
13,0.025,204.000,186,186,230,0.552,1.000,0.234,5.171,1224,15,9,12,33.690,0.184,1.291,0.775,0.800
14,0.034,244.000,258,199,298,0.590,1.000,0.276,8.247,1952,16,9,10,135.000,0.195,1.229,0.814,0.941
15,0.038,275.556,207,207,378,0.628,1.000,0.276,10.478,2480,17,9,10,135.000,0.195,1.000,1.000,1.000
16,0.034,235.375,192,192,298,0.590,1.000,0.276,7.956,1883,18,9,10,135.000,0.195,1.229,0.814,0.941
17,0.025,220.500,195,195,241,0.498,1.000,0.234,5.590,1323,19,10,10,123.690,0.130,1.500,0.667,1.000
18,0.008,201.500,190,190,213,0.276,1.000,0.145,1.703,403,20,10,11,153.435,0.065,2.000,0.500,1.000
19,0.017,206.000,198,198,211,0.368,1.000,0.184,3.481,824,21,10,11,135.000,0.130,1.000,1.000,1.000
20,0.013,210.333,197,197,223,0.368,1.000,0.184,2.666,631,23,10,11,135.000,0.130,1.464,0.683,0.857
21,0.030,204.571,186,186,231,0.590,1.000,0.234,6.050,1432,24,10,10,123.690,0.195,1.069,0.936,0.875
22,0.017,207.000,193,193,226,0.368,1.000,0.184,3.498,828,25,10,11,135.000,0.130,1.000,1.000,1.000
23,0.034,238.250,195,195,308,0.590,1.000,0.276,8.053,1906,26,9,10,135.000,0.195,1.229,0.814,0.941
24,0.025,205.500,203,186,237,0.552,1.000,0.234,5.209,1233,27,10,10,123.690,0.184,1.291,0.775,0.800
25,0.038,235.444,187,187,303,0.720,0.923,0.325,8.953,2119,28,9,9,126.870,0.195,1.539,0.650,0.900
26,0.017,214.500,211,194,242,0.498,0.857,0.206,3.625,858,29,10,10,108.435,0.130,1.468,0.681,0.800
27,0.013,197.667,186,186,210,0.460,0.754,0.234,2.505,593,30,9,11,146.310,0.116,2.702,0.370,0.667
28,0.025,229.833,201,201,268,0.552,1.000,0.234,5.826,1379,31,9,10,123.690,0.184,1.291,0.775,0.800
29,0.017,199.750,188,188,215,0.498,0.857,0.234,3.376,799,33,9,13,56.310,0.130,2.000,0.500,0.800
30,0.017,198.000,187,187,210,0.498,0.857,0.234,3.346,792,34,9,10,123.690,0.130,2.031,0.492,0.800
31,0.021,206.400,191,191,229,0.552,0.873,0.206,4.360,1032,35,10,10,108.435,0.184,1.000,1.000,0.714
32,0.008,194.500,186,186,203,0.276,1.000,0.145,1.644,389,36,10,11,153.435,0.065,2.000,0.500,1.000
33,0.017,211.500,207,207,222,0.368,1.000,0.184,3.574,846,37,9,10,135.000,0.130,1.000,1.000,1.000
34,0.034,269.375,199,199,405,0.590,1.000,0.276,9.105,2155,38,9,10,135.000,0.195,1.229,0.814,0.941
35,0.030,245.286,214,214,299,0.590,1.000,0.234,7.254,1717,39,10,10,123.690,0.195,1.069,0.936,0.875
36,0.046,234.182,198,198,293,0.773,0.976,0.325,10.884,2576,40,9,10,126.870,0.230,1.450,0.689,0.846
37,0.034,234.125,189,189,298,0.590,1.000,0.276,7.913,1873,41,9,10,135.000,0.195,1.229,0.814,0.941
38,0.038,267.222,202,202,342,0.628,1.000,0.276,10.161,2405,42,9,10,135.000,0.195,1.000,1.000,1.000
39,0.038,262.000,199,199,344,0.628,1.000,0.276,9.963,2358,43,9,10,135.000,0.195,1.000,1.000,1.000
40,0.042,265.800,318,200,338,0.720,1.000,0.291,11.230,2658,44,9,10,116.565,0.195,1.236,0.809,0.909
41,0.038,266.000,279,200,344,0.682,1.000,0.291,10.115,2394,45,9,10,116.565,0.195,1.340,0.746,0.857
42,0.038,242.444,245,200,304,0.628,1.000,0.276,9.219,2182,46,9,10,135.000,0.195,1.000,1.000,1.000
43,0.030,209.286,189,189,245,0.552,1.000,0.276,6.190,1465,47,9,10,135.000,0.184,1.596,0.626,0.875
44,0.030,239.000,199,199,305,0.552,1.000,0.234,7.068,1673,48,9,10,123.690,0.195,1.069,0.936,0.875
45,0.034,225.375,218,186,270,0.590,1.000,0.276,7.618,1803,49,9,10,135.000,0.195,1.229,0.814,0.941
46,0.042,252.300,252,193,333,0.720,1.000,0.291,10.660,2523,50,8,11,153.435,0.195,1.236,0.809,0.909
47,0.038,229.222,193,193,293,0.628,1.000,0.276,8.716,2063,51,9,10,135.000,0.195,1.000,1.000,1.000
48,0.046,225.091,251,190,275,0.720,1.000,0.325,10.461,2476,52,9,10,143.130,0.195,1.372,0.729,0.957
49,0.034,202.625,188,188,228,0.643,1.000,0.268,6.849,1621,53,8,11,165.964,0.195,1.195,0.837,0.800
50,0.046,260.818,187,187,360,0.735,1.000,0.291,12.122,2869,54,9,11,153.435,0.260,1.139,0.878,0.815
51,0.030,215.286,190,190,250,0.552,1.000,0.276,6.367,1507,55,9,10,135.000,0.184,1.596,0.626,0.875
52,0.025,240.500,216,216,273,0.498,1.000,0.234,6.097,1443,56,9,11,146.310,0.130,1.500,0.667,1.000
53,0.046,243.000,188,188,319,0.720,1.000,0.325,11.293,2673,57,9,10,126.870,0.195,1.372,0.729,0.957
54,0.046,276.636,194,194,379,0.720,1.000,0.325,12.857,3043,58,9,10,126.870,0.195,1.372,0.729,0.957
55,0.042,263.200,188,188,349,0.720,1.000,0.291,11.120,2632,59,8,11,153.435,0.195,1.236,0.809,0.909
56,0.055,276.615,208,188,374,0.865,0.922,0.350,15.193,3596.000,60,8,10,158.199,0.260,1.306,0.766,0.839
57,0.051,278.083,187,187,415,0.773,1.000,0.325,14.099,3337,61,9,9,126.870,0.260,1.135,0.881,0.857
58,0.046,266.636,191,191,400,0.735,1.000,0.291,12.392,2933,62,9,10,116.565,0.260,1.139,0.878,0.815
59,0.042,251.700,188,188,332,0.720,1.000,0.325,10.634,2517,63,9,10,143.130,0.195,1.288,0.776,0.909
60,0.038,298.889,309,224,417,0.628,1.000,0.276,11.365,2690,64,9,10,135.000,0.195,1.000,1.000,1.000
61,0.051,215.417,187,187,265,0.735,1.000,0.291,10.922,2585,65,9,9,116.565,0.260,1.000,1.000,0.857
62,0.046,275.182,199,199,385,0.812,0.887,0.331,12.789,3027,66,10,9,101.310,0.195,1.469,0.681,0.846
63,0.046,265.182,352,194,352,0.720,1.000,0.325,12.324,2917,67,8,10,143.130,0.195,1.372,0.729,0.957
64,0.063,275.533,191,191,404,0.903,0.976,0.379,17.462,4133,68,8,13,30.964,0.260,1.399,0.715,0.882
65,0.068,250.312,195,195,336,0.865,1.000,0.379,16.921,4005,69,8,10,149.036,0.260,1.392,0.718,0.889
