Time,Area,Mean,Mode,Min,Max,Perim.,Circ.,Feret,IntDen,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.004,232.000,232,232,232,0.184,1.000,0.092,0.980,232.000,11,6,6,135.000,0.065,1.000,1.000,1.000
2,0.004,231.000,231,231,231,0.184,1.000,0.092,0.976,231.000,14,6,6,135.000,0.065,1.000,1.000,1.000
3,0.004,231.000,231,231,231,0.184,1.000,0.092,0.976,231.000,16,6,5,135.000,0.065,1.000,1.000,1.000
4,0.017,283.250,239,239,331,0.460,1.000,0.206,4.787,1133.000,17,5,5,161.565,0.130,1.468,0.681,0.800
5,0.021,269.000,240,240,303,0.460,1.000,0.234,5.683,1345.000,18,5,5,146.310,0.130,1.553,0.644,0.909
6,0.021,268.400,232,232,292,0.460,1.000,0.234,5.670,1342.000,19,5,5,146.310,0.130,1.553,0.644,0.909
7,0.017,253.250,246,246,258,0.368,1.000,0.184,4.280,1013.000,20,5,5,135.000,0.130,1.000,1.000,1.000
8,0.025,272.500,243,243,314,0.498,1.000,0.234,6.908,1635.000,21,5,5,146.310,0.130,1.500,0.667,1.000
9,0.025,322.167,289,289,381,0.498,1.000,0.234,8.167,1933.000,22,5,5,146.310,0.130,1.500,0.667,1.000
10,0.017,290.500,262,262,347,0.460,1.000,0.206,4.909,1162.000,23,5,5,161.565,0.130,1.468,0.681,0.800
11,0.025,268.333,238,238,292,0.498,1.000,0.234,6.802,1610.000,24,5,5,146.310,0.130,1.500,0.667,1.000
12,0.017,255.500,239,239,274,0.368,1.000,0.184,4.318,1022.000,25,5,5,135.000,0.130,1.000,1.000,1.000
13,0.025,277.500,257,247,314,0.498,1.000,0.234,7.035,1665.000,26,5,5,146.310,0.130,1.500,0.667,1.000
14,0.030,320.286,237,237,431,0.590,1.000,0.234,9.472,2242.000,28,5,5,123.690,0.195,1.069,0.936,0.875
15,0.017,242.750,243,228,257,0.460,1.000,0.234,4.102,971.000,29,5,7,33.690,0.130,2.031,0.492,0.800
16,0.030,323.286,252,252,392,0.628,0.943,0.291,9.561,2263.000,30,4,7,26.565,0.130,1.936,0.517,0.933
17,0.021,348.200,242,242,398,0.460,1.000,0.234,7.356,1741.000,31,5,7,33.690,0.130,1.553,0.644,0.909
18,0.030,292.143,234,234,358,0.590,1.000,0.234,8.640,2045.000,32,5,5,123.690,0.195,1.069,0.936,0.875
19,0.030,351.429,230,230,488,0.590,1.000,0.234,10.394,2460.000,33,6,4,123.690,0.195,1.069,0.936,0.875
20,0.030,308.286,228,228,376,0.628,0.943,0.291,9.118,2158.000,34,4,7,26.565,0.130,1.936,0.517,0.933
21,0.030,344.143,238,238,451,0.628,0.943,0.291,10.178,2409.000,35,4,7,26.565,0.130,1.936,0.517,0.933
22,0.030,345.286,238,238,426,0.628,0.943,0.291,10.212,2417.000,36,4,7,26.565,0.130,1.936,0.517,0.933
23,0.030,329.429,232,232,422,0.590,1.000,0.234,9.743,2306.000,37,5,5,123.690,0.195,1.069,0.936,0.875
24,0.034,294.250,247,235,358,0.628,1.000,0.291,9.946,2354.000,38,4,5,153.435,0.130,2.000,0.500,1.000
25,0.038,278.778,228,228,331,0.682,1.000,0.291,10.601,2509.000,39,4,7,26.565,0.195,1.340,0.746,0.857
26,0.030,280.714,232,232,324,0.590,1.000,0.291,8.302,1965.000,40,4,5,153.435,0.130,1.936,0.517,0.933
27,0.038,309.111,234,234,445,0.682,1.000,0.291,11.754,2782.000,41,4,5,153.435,0.195,1.536,0.651,0.857
