Time,Area,Mean,Mode,Min,Max,Perim.,Circ.,Feret,IntDen,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
16,0.046,260.182,204,204,317,0.720,1.000,0.325,12.092,2862,19,5,5,143.130,0.195,1.372,0.729,0.957
17,0.046,242.273,209,209,300,0.773,0.976,0.331,11.260,2665,20,4,6,168.690,0.195,1.469,0.681,0.846
18,0.051,268.417,257,205,343,0.773,1.000,0.350,13.609,3221,21,5,5,158.199,0.195,1.579,0.633,0.889
19,0.059,268.929,208,208,350,0.850,1.000,0.379,15.907,3765,22,4,8,30.964,0.195,1.662,0.602,0.966
20,0.055,284.231,205,205,394,0.812,1.000,0.350,15.611,3695,23,5,5,158.199,0.195,1.551,0.645,0.929
21,0.051,269.000,221,219,339,0.735,1.000,0.291,13.638,3228,24,6,5,116.565,0.260,1.000,1.000,0.857
22,0.051,303.000,211,211,461,0.773,1.000,0.350,15.362,3636,25,4,8,21.801,0.195,1.579,0.633,0.889
23,0.042,275.000,205,205,358,0.682,1.000,0.291,11.619,2750,26,5,6,153.435,0.195,1.384,0.723,0.909
24,0.055,262.538,204,204,354,0.865,0.922,0.350,14.420,3413,27,4,6,158.199,0.260,1.312,0.762,0.812
25,0.051,284.917,213,213,382,0.758,1.000,0.325,14.445,3419,28,5,5,143.130,0.195,1.333,0.750,1.000
26,0.063,278.467,206,206,374,0.865,1.000,0.379,17.648,4177,29,4,5,149.036,0.260,1.435,0.697,0.882
27,0.051,286.083,214,214,389,0.812,0.967,0.350,14.504,3433,30,4,6,158.199,0.195,1.579,0.633,0.889
28,0.063,286.200,205,205,413,0.903,0.976,0.379,18.138,4293,31,5,5,149.036,0.260,1.439,0.695,0.857
29,0.080,285.789,274,204,386,1.087,0.853,0.473,22.942,5430,32,4,5,164.055,0.260,1.944,0.514,0.826
30,0.068,281.500,245,218,377,0.903,1.000,0.379,19.029,4504,33,5,5,149.036,0.260,1.292,0.774,0.889
31,0.059,318.714,205,205,527,0.850,1.000,0.379,18.852,4462,34,5,5,149.036,0.195,1.662,0.602,0.966
32,0.063,287.133,216,208,433,0.827,1.000,0.350,18.197,4307,35,5,6,158.199,0.260,1.295,0.772,0.857
33,0.068,331.812,206,206,583,0.903,1.000,0.379,22.431,5309,36,5,5,149.036,0.260,1.292,0.774,0.889
34,0.072,349.353,208,208,649,0.995,0.911,0.411,25.092,5939,37,5,6,161.565,0.260,1.699,0.589,0.829
35,0.080,300.895,219,214,477,0.995,1.000,0.411,24.154,5717,38,5,5,161.565,0.260,1.396,0.717,0.905
36,0.076,335.056,204,204,580,1.087,0.808,0.460,25.481,6031,39,4,6,171.870,0.260,1.689,0.592,0.818
37,0.068,332.938,207,207,553,0.903,1.000,0.379,22.507,5327,40,5,8,30.964,0.260,1.292,0.774,0.889
38,0.072,308.824,206,206,469,0.903,1.000,0.379,22.181,5250,41,5,5,149.036,0.260,1.263,0.792,0.919
39,0.068,284.500,205,205,432,0.903,1.000,0.379,19.232,4552,42,5,8,30.964,0.260,1.392,0.718,0.889
40,0.080,297.053,205,205,467,1.033,0.944,0.436,23.846,5644.000,43,5,5,153.435,0.260,1.598,0.626,0.884
41,0.059,291.214,213,213,419,0.903,0.911,0.395,17.225,4077,44,5,6,170.538,0.195,1.768,0.565,0.875
42,0.089,276.619,271,211,403,1.125,0.880,0.473,24.543,5809.000,45,5,5,164.055,0.260,1.676,0.597,0.875
43,0.063,281.933,204,204,401,1.033,0.746,0.460,17.868,4229,46,5,6,171.870,0.195,2.084,0.480,0.833
44,0.059,311.571,261,216,487,0.812,1.000,0.325,18.429,4362,47,6,5,126.870,0.260,1.020,0.981,0.933
45,0.072,301.706,301,206,459,0.995,0.911,0.436,21.670,5129,48,5,8,26.565,0.260,1.539,0.650,0.895
46,0.076,297.722,230,204,461,0.995,0.965,0.411,22.642,5359,49,5,5,161.565,0.260,1.476,0.677,0.900
47,0.055,333.615,214,214,541,0.773,1.000,0.325,18.324,4337,50,6,5,126.870,0.260,1.159,0.863,0.897
48,0.068,290.188,289,220,399,0.942,0.958,0.411,19.617,4643,51,5,5,161.565,0.195,1.931,0.518,0.941
49,0.085,280.000,246,204,437,1.087,0.898,0.469,23.660,5600,52,5,8,33.690,0.300,1.641,0.609,0.833
50,0.076,299.222,223,223,432,0.995,0.965,0.436,22.756,5386,53,5,8,26.565,0.260,1.672,0.598,0.878
51,0.051,312.750,204,204,485,0.773,1.000,0.325,15.856,3753,54,6,9,36.870,0.260,1.218,0.821,0.889
52,0.068,292.188,205,205,427,0.957,0.927,0.411,19.752,4675,55,5,8,18.435,0.260,1.519,0.658,0.842
53,0.059,314.500,205,205,487,0.812,1.000,0.368,18.603,4403,56,6,9,45.000,0.260,1.319,0.758,0.933
54,0.072,334.529,244,208,548,0.903,1.000,0.379,24.028,5687,57,5,8,30.964,0.260,1.263,0.792,0.919
55,0.068,350.812,217,217,581,0.903,1.000,0.379,23.715,5613,58,5,8,30.964,0.260,1.392,0.718,0.889
56,0.072,395.353,240,240,685,0.903,1.000,0.379,28.396,6721,59,5,8,30.964,0.260,1.263,0.792,0.919
57,0.076,346.000,208,208,588,0.957,1.000,0.411,26.313,6228,60,5,8,18.435,0.260,1.416,0.706,0.878
58,0.085,359.900,212,212,613,1.033,0.994,0.436,30.412,7198,61,5,9,26.565,0.260,1.403,0.713,0.909
59,0.080,363.579,204,204,622,0.995,1.000,0.436,29.186,6908,62,5,9,26.565,0.260,1.499,0.667,0.905
60,0.085,383.500,206,206,743,1.033,0.994,0.436,32.406,7670,63,5,9,26.565,0.260,1.403,0.713,0.909
61,0.072,404.176,556,216,787,0.903,1.000,0.379,29.030,6871,64,5,8,30.964,0.260,1.263,0.792,0.919
62,0.076,363.111,221,221,599,0.957,1.000,0.411,27.615,6536,65,5,8,18.435,0.260,1.416,0.706,0.878
63,0.089,341.286,206,206,584,1.033,1.000,0.436,30.281,7167,66,4,8,26.565,0.260,1.475,0.678,0.933
64,0.085,354.800,215,215,589,1.072,0.925,0.469,29.981,7096,67,5,9,33.690,0.260,1.433,0.698,0.930
65,0.093,366.500,339,217,593,1.087,0.988,0.473,34.066,8063,68,4,8,15.945,0.260,1.620,0.617,0.898
66,0.089,359.476,345,223,573,1.125,0.880,0.460,31.895,7549,69,4,6,171.870,0.260,1.515,0.660,0.875
67,0.101,385.583,208,208,736,1.125,1.000,0.473,39.098,9254,70,4,6,164.055,0.260,1.669,0.599,0.923
68,0.089,379.810,209,209,664,1.072,0.971,0.469,33.699,7976,71,5,9,33.690,0.260,1.539,0.650,0.955
69,0.101,403.667,261,230,685,1.125,1.000,0.473,40.932,9688,72,4,6,164.055,0.260,1.669,0.599,0.923
70,0.080,431.789,206,206,844,0.980,1.000,0.416,34.662,8204,73,5,9,38.660,0.260,1.273,0.785,0.974
71,0.110,349.308,448,205,639,1.217,0.932,0.495,38.371,9082,74,4,8,23.199,0.325,1.523,0.657,0.867
72,0.106,364.800,205,205,686,1.179,0.954,0.473,38.532,9120,75,4,6,164.055,0.325,1.456,0.687,0.862
73,0.093,418.636,212,207,794,1.072,1.000,0.469,38.912,9210,76,5,9,33.690,0.260,1.542,0.649,0.957
74,0.093,413.955,207,207,864,1.049,1.000,0.436,38.477,9107,77,5,8,26.565,0.325,1.308,0.764,0.863
75,0.076,446.778,299,228,830,0.957,1.000,0.411,33.977,8042,78,5,8,18.435,0.260,1.416,0.706,0.878
76,0.101,378.333,204,204,708,1.163,0.941,0.495,38.363,9080,79,4,8,23.199,0.260,1.774,0.564,0.923
77,0.093,366.864,208,208,660,1.072,1.000,0.436,34.100,8071,80,4,6,153.435,0.260,1.459,0.685,0.957
78,0.106,373.760,215,215,596,1.163,0.981,0.495,39.478,9344,81,4,5,156.801,0.260,1.706,0.586,0.943
79,0.101,388.917,220,205,806,1.179,0.916,0.460,39.436,9334,82,4,6,171.870,0.325,1.264,0.791,0.842
80,0.114,345.296,207,207,545,1.293,0.857,0.536,39.390,9323,83,3,6,165.964,0.260,1.853,0.540,0.931
81,0.106,385.200,204,204,751,1.163,0.981,0.495,40.687,9630,84,4,8,23.199,0.260,1.706,0.586,0.943
82,0.085,434.850,326,215,845,1.033,0.994,0.436,36.745,8697,85,5,8,26.565,0.260,1.429,0.700,0.909
83,0.110,391.962,204,204,715,1.293,0.825,0.555,43.057,10191,86,3,8,20.556,0.260,1.858,0.538,0.912
84,0.097,401.087,407,206,759,1.125,0.964,0.473,38.976,9225,87,4,6,164.055,0.260,1.576,0.634,0.902
85,0.110,369.385,343,209,651,1.179,0.993,0.495,40.577,9604,88,4,8,23.199,0.325,1.537,0.650,0.881
86,0.101,400.667,242,212,731,1.125,1.000,0.473,40.628,9616,89,4,6,164.055,0.260,1.669,0.599,0.923
87,0.093,410.727,221,221,747,1.087,0.988,0.473,38.177,9036,90,4,8,15.945,0.260,1.620,0.617,0.898
88,0.106,419.520,266,210,856,1.163,0.981,0.495,44.312,10488,91,4,5,156.801,0.260,1.706,0.586,0.943
89,0.114,382.852,204,204,647,1.293,0.857,0.555,43.674,10337,92,3,8,20.556,0.260,1.895,0.528,0.931
90,0.110,386.769,264,204,676,1.179,0.993,0.473,42.487,10056,93,4,6,164.055,0.325,1.415,0.707,0.881
91,0.106,411.280,209,209,787,1.125,1.000,0.436,43.441,10282,94,4,6,153.435,0.325,1.177,0.849,0.926
92,0.097,418.435,209,209,845,1.087,1.000,0.436,40.661,9624,95,4,8,26.565,0.325,1.314,0.761,0.885
93,0.093,421.091,212,212,829,1.072,1.000,0.436,39.140,9264,96,5,5,153.435,0.260,1.543,0.648,0.957
94,0.110,385.423,205,205,764,1.202,0.956,0.495,42.339,10021,97,4,5,156.801,0.260,1.861,0.537,0.963
95,0.097,417.826,217,217,710,1.125,0.964,0.473,40.602,9610,98,4,5,164.055,0.260,1.621,0.617,0.920
96,0.123,407.552,207,207,776,1.271,0.953,0.495,49.935,11819,99,4,5,156.801,0.390,1.389,0.720,0.841
97,0.106,412.360,211,211,688,1.163,0.981,0.495,43.556,10309,100,4,5,156.801,0.260,1.706,0.586,0.943
98,0.106,407.400,344,209,729,1.163,0.981,0.495,43.032,10185,101,4,8,23.199,0.260,1.706,0.586,0.943
99,0.114,408.000,205,205,732,1.217,0.967,0.495,46.543,11016,102,4,8,23.199,0.325,1.518,0.659,0.885
100,0.110,405.808,280,217,688,1.202,0.956,0.495,44.578,10551,103,4,5,156.801,0.260,1.861,0.537,0.963
101,0.118,406.250,219,205,802,1.255,0.943,0.524,48.059,11375,104,4,9,29.745,0.325,1.524,0.656,0.903
102,0.101,449.542,248,248,766,1.125,1.000,0.473,45.584,10789,105,4,6,164.055,0.260,1.669,0.599,0.923
103,0.110,413.231,394,209,789,1.271,0.854,0.536,45.393,10744,106,3,8,14.036,0.325,1.643,0.608,0.839
104,0.118,421.786,216,216,885,1.309,0.867,0.536,49.897,11810,107,3,6,165.964,0.325,1.577,0.634,0.862
105,0.114,380.000,204,204,676,1.233,0.943,0.495,43.349,10260,108,4,5,156.801,0.370,1.454,0.688,0.818
106,0.097,396.783,221,217,739,1.125,0.964,0.473,38.557,9126,109,4,5,164.055,0.260,1.621,0.617,0.920
107,0.123,364.414,205,204,704,1.309,0.898,0.536,44.650,10568,110,3,6,165.964,0.325,1.500,0.667,0.879
108,0.106,411.680,207,207,761,1.163,0.981,0.495,43.484,10292,111,4,5,156.801,0.260,1.706,0.586,0.943
109,0.101,361.708,296,204,635,1.141,0.978,0.473,36.677,8681,112,4,8,15.945,0.325,1.412,0.708,0.857
110,0.106,376.920,204,204,742,1.179,0.954,0.473,39.812,9423,113,4,5,164.055,0.325,1.487,0.673,0.847
111,0.097,409.696,301,207,718,1.141,0.938,0.473,39.812,9423,114,4,8,15.945,0.325,1.471,0.680,0.836
112,0.106,376.520,206,206,623,1.125,1.000,0.469,39.770,9413,115,4,5,146.310,0.325,1.294,0.773,0.909
113,0.097,407.565,299,205,806,1.141,0.938,0.473,39.605,9374,116,4,8,15.945,0.325,1.471,0.680,0.836
114,0.106,375.120,213,205,712,1.125,1.000,0.469,39.622,9378,117,4,5,146.310,0.325,1.294,0.773,0.909
115,0.097,400.522,208,208,684,1.049,1.000,0.436,38.921,9212,118,4,8,26.565,0.325,1.235,0.809,0.885
116,0.097,368.565,242,227,581,1.125,0.964,0.473,35.815,8477,119,4,6,164.055,0.260,1.707,0.586,0.902
117,0.097,393.043,207,207,661,1.125,0.964,0.473,38.194,9040,120,4,5,164.055,0.260,1.621,0.617,0.920
118,0.097,382.087,295,204,723,1.125,0.964,0.473,37.129,8788,121,4,5,164.055,0.260,1.621,0.617,0.920
119,0.093,377.682,204,204,717,1.049,1.000,0.436,35.106,8309,122,4,8,26.565,0.325,1.170,0.854,0.863
120,0.101,376.208,262,223,653,1.125,1.000,0.473,38.148,9029,123,4,6,164.055,0.260,1.669,0.599,0.923
121,0.085,399.500,275,228,723,0.995,1.000,0.411,33.758,7990,124,4,6,161.565,0.260,1.435,0.697,0.909
122,0.106,382.960,246,208,697,1.125,1.000,0.436,40.450,9574,125,4,6,153.435,0.325,1.177,0.849,0.926
123,0.097,399.174,416,204,742,1.125,0.964,0.473,38.790,9181,126,4,6,164.055,0.260,1.707,0.586,0.902
124,0.085,400.350,228,228,654,1.033,0.994,0.436,33.830,8007,127,5,9,26.565,0.260,1.417,0.706,0.930
125,0.110,389.000,583,208,628,1.179,0.993,0.473,42.732,10114,128,4,8,15.945,0.325,1.271,0.787,0.881
126,0.093,370.091,225,216,650,1.072,1.000,0.436,34.400,8142.000,129,4,6,153.435,0.260,1.459,0.685,0.957
127,0.085,427.550,205,205,835,0.995,1.000,0.411,36.128,8551,130,4,6,161.565,0.260,1.435,0.697,0.909
128,0.101,381.458,339,208,724,1.125,1.000,0.473,38.680,9155,131,4,6,164.055,0.260,1.669,0.599,0.923
129,0.097,426.304,208,208,798,1.125,0.964,0.473,41.426,9805,132,4,6,164.055,0.260,1.707,0.586,0.902
130,0.101,369.167,204,204,702,1.087,1.000,0.436,37.434,8860,133,5,5,153.435,0.325,1.253,0.798,0.889
131,0.085,396.750,204,204,648,1.087,0.898,0.460,33.525,7935,134,4,6,171.870,0.260,1.537,0.651,0.870
132,0.114,379.852,375,204,720,1.255,0.910,0.495,43.332,10256,135,3,6,156.801,0.325,1.334,0.749,0.900
133,0.106,409.640,205,205,864,1.125,1.000,0.436,43.268,10241,136,4,6,153.435,0.325,1.177,0.849,0.926
134,0.118,387.000,207,207,673,1.217,1.000,0.495,45.782,10836,137,4,5,156.801,0.325,1.391,0.719,0.903
135,0.118,412.429,243,218,760,1.179,1.000,0.495,48.790,11548,138,4,8,23.199,0.325,1.367,0.732,0.903
136,0.106,423.600,209,209,895,1.179,0.954,0.473,44.743,10590,139,4,8,15.945,0.325,1.354,0.739,0.862
137,0.106,406.360,220,208,718,1.163,0.981,0.495,42.922,10159,140,4,8,23.199,0.260,1.706,0.586,0.943
138,0.114,395.556,224,205,852,1.179,1.000,0.473,45.123,10680,141,4,6,164.055,0.325,1.337,0.748,0.900
139,0.101,424.167,377,223,753,1.125,1.000,0.473,43.011,10180,142,4,6,164.055,0.260,1.669,0.599,0.923
140,0.123,392.379,204,204,767,1.255,0.977,0.495,48.076,11379,143,4,5,156.801,0.325,1.352,0.740,0.906
141,0.106,400.960,209,209,681,1.141,1.000,0.473,42.351,10024,144,4,8,15.945,0.325,1.313,0.761,0.877
142,0.101,366.625,220,211,621,1.125,1.000,0.473,37.176,8799,145,4,6,164.055,0.260,1.669,0.599,0.923
143,0.101,405.042,208,208,710,1.163,0.941,0.473,41.071,9721,146,4,5,164.055,0.260,1.606,0.623,0.923
144,0.085,418.900,235,235,737,1.087,0.898,0.460,35.397,8378,147,4,6,171.870,0.260,1.537,0.651,0.870
145,0.110,417.846,402,210,749,1.202,0.956,0.495,45.900,10864,148,4,5,156.801,0.260,1.861,0.537,0.963
146,0.110,385.731,239,214,707,1.141,1.000,0.473,42.373,10029,149,4,6,164.055,0.325,1.415,0.707,0.881
147,0.123,387.448,204,204,649,1.255,0.977,0.473,47.472,11236,150,4,5,164.055,0.325,1.266,0.790,0.906
148,0.106,398.480,247,205,736,1.125,1.000,0.436,42.089,9962,151,4,5,153.435,0.325,1.230,0.813,0.909
149,0.110,354.538,208,208,619,1.179,0.993,0.473,38.946,9218,152,4,6,164.055,0.325,1.415,0.707,0.881
150,0.097,427.522,247,205,825,1.125,0.964,0.473,41.544,9833,153,4,6,164.055,0.260,1.576,0.634,0.902
151,0.093,398.636,351,206,682,1.087,0.988,0.436,37.053,8770,154,4,5,153.435,0.325,1.258,0.795,0.863
152,0.110,370.846,206,206,594,1.179,0.993,0.473,40.737,9642,155,4,8,15.945,0.325,1.271,0.787,0.881
153,0.110,367.885,234,206,663,1.141,1.000,0.473,40.412,9565,156,4,5,164.055,0.325,1.362,0.734,0.881
154,0.101,395.667,354,204,735,1.125,1.000,0.436,40.121,9496,157,4,6,153.435,0.325,1.103,0.907,0.906
155,0.097,385.087,214,214,808,1.049,1.000,0.436,37.421,8857,158,4,8,26.565,0.325,1.235,0.809,0.885
156,0.101,392.542,217,210,713,1.179,0.916,0.460,39.804,9421,159,4,6,171.870,0.325,1.225,0.816,0.857
157,0.076,472.111,254,254,909,0.942,1.000,0.379,35.904,8498,160,5,5,149.036,0.260,1.248,0.801,0.947
158,0.106,390.840,293,204,758,1.125,1.000,0.436,41.282,9771,161,4,5,153.435,0.325,1.230,0.813,0.909
159,0.110,377.962,204,204,671,1.179,0.993,0.473,41.519,9827,162,4,5,164.055,0.325,1.333,0.750,0.881
160,0.097,368.174,274,204,741,1.087,1.000,0.436,35.777,8468,163,4,5,153.435,0.325,1.314,0.761,0.885
161,0.101,387.083,227,217,851,1.087,1.000,0.436,39.250,9290,164,4,5,153.435,0.325,1.222,0.818,0.906
162,0.097,383.870,204,204,665,1.087,1.000,0.416,37.303,8829,165,5,4,128.660,0.325,1.132,0.884,0.885
163,0.106,376.640,337,204,648,1.163,0.981,0.460,39.783,9416,166,5,9,45.000,0.325,1.213,0.825,0.909
164,0.118,376.321,236,205,641,1.217,1.000,0.495,44.519,10537,167,4,8,23.199,0.325,1.385,0.722,0.889
165,0.118,388.571,207,205,686,1.217,1.000,0.495,45.968,10880,168,4,8,23.199,0.325,1.391,0.719,0.903
166,0.110,405.923,219,219,808,1.141,1.000,0.473,44.591,10554,169,4,5,164.055,0.325,1.362,0.734,0.881
167,0.106,367.920,282,204,672,1.125,1.000,0.436,38.862,9198,170,5,4,153.435,0.325,1.177,0.849,0.926
168,0.097,450.348,229,229,883,1.087,1.000,0.436,43.763,10358,171,5,5,153.435,0.325,1.205,0.830,0.885
169,0.114,412.741,211,211,922,1.217,0.967,0.495,47.083,11144,172,4,8,23.199,0.325,1.459,0.685,0.885
170,0.106,372.160,223,223,625,1.179,0.954,0.473,39.309,9304,173,4,5,164.055,0.325,1.514,0.661,0.862
171,0.114,370.037,207,207,617,1.195,1.000,0.473,42.212,9991,174,4,5,164.055,0.390,1.174,0.852,0.831
172,0.106,360.560,255,215,683,1.179,0.954,0.473,38.084,9014,175,4,5,164.055,0.325,1.514,0.661,0.862
173,0.106,370.800,207,207,609,1.125,1.000,0.436,39.166,9270,176,4,5,153.435,0.325,1.177,0.849,0.926
174,0.114,390.222,206,206,726,1.179,1.000,0.473,44.515,10536,177,4,5,164.055,0.325,1.337,0.748,0.900
175,0.110,343.462,276,205,595,1.179,0.993,0.473,37.729,8930,178,4,7,15.945,0.325,1.271,0.787,0.881
176,0.123,345.552,332,204,615,1.271,0.953,0.473,42.339,10021,179,4,5,164.055,0.390,1.205,0.830,0.853
177,0.093,393.818,215,215,699,1.072,1.000,0.436,36.605,8664,180,5,4,153.435,0.260,1.459,0.685,0.957
178,0.110,374.654,204,204,684,1.163,1.000,0.469,41.156,9741,181,5,4,146.310,0.325,1.224,0.817,0.929
179,0.101,394.208,252,207,687,1.125,1.000,0.473,39.973,9461,182,4,5,164.055,0.260,1.669,0.599,0.923
180,0.093,377.273,244,209,783,1.087,0.988,0.436,35.068,8300,183,5,4,153.435,0.325,1.311,0.763,0.880
181,0.097,395.522,205,205,720,1.110,0.992,0.469,38.435,9097,184,5,8,33.690,0.260,1.503,0.665,0.979
182,0.093,385.091,332,217,610,1.072,1.000,0.436,35.794,8472,185,5,4,153.435,0.260,1.543,0.648,0.957
183,0.114,375.704,271,214,659,1.163,1.000,0.469,42.858,10144,186,5,8,33.690,0.325,1.210,0.826,0.947
184,0.106,356.320,222,222,635,1.125,1.000,0.436,37.636,8908,187,5,4,153.435,0.325,1.230,0.813,0.909
185,0.106,360.920,212,212,695,1.125,1.000,0.436,38.122,9023,188,5,4,153.435,0.325,1.230,0.813,0.909
186,0.101,361.000,318,210,635,1.087,1.000,0.436,36.605,8664,189,5,7,26.565,0.325,1.222,0.818,0.906
187,0.110,330.423,214,214,529,1.125,1.000,0.436,36.297,8591,190,5,4,153.435,0.325,1.184,0.845,0.929
188,0.110,384.846,213,213,713,1.125,1.000,0.436,42.275,10006,191,5,4,153.435,0.325,1.184,0.845,0.929
189,0.114,365.185,212,212,632,1.217,0.967,0.473,41.659,9860,192,4,5,164.055,0.325,1.286,0.777,0.900
190,0.123,355.310,220,208,612,1.271,0.953,0.473,43.534,10304,193,4,4,164.055,0.390,1.202,0.832,0.866
191,0.131,322.355,249,204,544,1.233,1.000,0.495,42.220,9993,194,4,7,23.199,0.390,1.199,0.834,0.886
192,0.114,364.926,217,216,596,1.179,1.000,0.469,41.629,9853,195,5,8,33.690,0.368,1.223,0.818,0.900
193,0.118,344.857,206,206,623,1.217,1.000,0.495,40.797,9656,196,4,7,23.199,0.325,1.391,0.719,0.903
194,0.127,315.100,204,204,494,1.255,1.000,0.495,39.939,9453,197,4,4,156.801,0.325,1.405,0.712,0.923
195,0.127,328.867,211,209,627,1.255,1.000,0.495,41.684,9866,198,4,3,156.801,0.325,1.357,0.737,0.938
196,0.101,363.333,245,222,632,1.087,1.000,0.436,36.842,8720,199,4,4,153.435,0.325,1.222,0.818,0.906
197,0.101,352.083,205,205,582,1.087,1.000,0.436,35.701,8450,200,4,4,153.435,0.325,1.222,0.818,0.906
198,0.110,334.500,206,206,619,1.217,0.932,0.495,36.745,8697,201,4,4,156.801,0.325,1.401,0.714,0.867
199,0.114,363.370,206,206,641,1.179,1.000,0.469,41.451,9811,202,4,3,146.310,0.378,1.202,0.832,0.871
200,0.131,324.065,218,215,545,1.309,0.960,0.495,42.444,10046,203,6,8,66.801,0.390,1.084,0.923,0.886
201,0.110,330.038,265,211,541,1.179,0.993,0.473,36.255,8581,204,4,4,164.055,0.325,1.415,0.707,0.881
202,0.106,340.920,227,219,533,1.125,1.000,0.436,36.010,8523,205,5,3,153.435,0.325,1.177,0.849,0.926
203,0.097,322.174,276,208,488,1.087,1.000,0.416,31.307,7410,206,5,3,128.660,0.325,1.149,0.871,0.885
204,0.101,355.833,205,205,643,1.125,1.000,0.436,36.081,8540,207,5,3,153.435,0.325,1.232,0.812,0.906
205,0.123,337.966,274,204,543,1.271,0.953,0.495,41.409,9801,208,4,6,23.199,0.390,1.289,0.776,0.841
206,0.127,347.333,209,209,615,1.271,0.986,0.495,44.025,10420,209,4,6,23.199,0.390,1.299,0.770,0.870
207,0.139,323.212,210,208,498,1.271,1.000,0.495,45.064,10666,210,4,3,156.801,0.390,1.183,0.846,0.904
208,0.139,336.758,207,206,532,1.325,0.998,0.536,46.952,11113,211,4,6,14.036,0.390,1.251,0.799,0.880
209,0.127,364.133,230,217,705,1.271,0.986,0.495,46.154,10924,212,4,3,156.801,0.390,1.282,0.780,0.870
210,0.123,352.448,213,213,577,1.217,1.000,0.495,43.184,10221,213,4,6,23.199,0.325,1.373,0.728,0.921
211,0.101,369.583,297,212,572,1.087,1.000,0.436,37.476,8870,214,5,3,153.435,0.325,1.308,0.765,0.889
212,0.106,347.280,270,207,596,1.163,0.981,0.469,36.681,8682,215,5,6,33.690,0.325,1.348,0.742,0.909
213,0.110,346.154,213,213,588,1.125,1.000,0.436,38.025,9000,216,5,4,153.435,0.325,1.184,0.845,0.929
214,0.106,333.360,217,207,569,1.125,1.000,0.436,35.211,8334,217,4,4,153.435,0.325,1.177,0.849,0.926
215,0.106,346.240,204,204,605,1.125,1.000,0.436,36.572,8656,218,5,3,153.435,0.325,1.177,0.849,0.926
216,0.123,333.552,206,206,544,1.271,0.953,0.473,40.868,9673,219,4,4,164.055,0.390,1.205,0.830,0.853
217,0.123,304.448,208,205,549,1.309,0.898,0.524,37.303,8829,220,7,8,60.255,0.390,1.336,0.748,0.853
218,0.097,342.130,210,210,526,1.110,0.992,0.469,33.247,7869,221,5,3,146.310,0.260,1.503,0.665,0.979
219,0.097,320.739,204,204,525,1.087,1.000,0.436,31.168,7377,222,5,3,153.435,0.325,1.227,0.815,0.902
220,0.118,308.286,204,204,489,1.217,1.000,0.495,36.470,8632,223,4,3,156.801,0.325,1.436,0.696,0.903
221,0.101,341.417,293,209,589,1.125,1.000,0.436,34.620,8194,224,5,3,153.435,0.325,1.103,0.907,0.906
222,0.123,330.793,205,205,653,1.233,1.000,0.495,40.530,9593,225,4,3,156.801,0.390,1.326,0.754,0.853
223,0.114,322.815,205,205,553,1.233,0.943,0.473,36.825,8716,226,6,8,74.055,0.390,1.155,0.866,0.831
224,0.106,332.000,207,207,485,1.125,1.000,0.469,35.067,8300,227,4,3,146.310,0.325,1.312,0.762,0.926
225,0.118,352.429,205,205,622,1.179,1.000,0.469,41.692,9868,228,4,3,146.310,0.390,1.145,0.873,0.889
226,0.110,330.500,214,214,536,1.141,1.000,0.436,36.305,8593,229,4,6,26.565,0.368,1.131,0.884,0.881
