Time,Area,Mean,Mode,Min,Max,Perim.,Circ.,Feret,IntDen,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.004,212.000,212,212,212,0.184,1.000,0.092,0.896,212,3,6,6,135.000,0.065,1.000,1.000,1.000
2,0.004,206.000,206,206,206,0.184,1.000,0.092,0.870,206,4,5,6,135.000,0.065,1.000,1.000,1.000
3,0.017,223.750,226,206,237,0.460,1.000,0.206,3.781,895,6,6,6,161.565,0.130,1.468,0.681,0.800
4,0.013,225.333,216,216,240,0.406,0.967,0.206,2.856,676,7,6,7,161.565,0.065,3.000,0.333,1.000
5,0.030,231.857,204,204,257,0.628,0.943,0.291,6.857,1623,8,5,6,153.435,0.130,1.936,0.517,0.933
6,0.025,232.333,213,213,262,0.552,1.000,0.234,5.890,1394,9,6,5,123.690,0.184,1.291,0.775,0.800
7,0.042,235.500,209,209,281,0.682,1.000,0.325,9.950,2355,10,5,5,143.130,0.195,1.551,0.645,0.909
8,0.034,235.125,226,215,249,0.628,1.000,0.291,7.947,1881,11,5,6,153.435,0.130,2.000,0.500,1.000
9,0.038,278.889,325,220,375,0.682,1.000,0.291,10.605,2510,12,5,6,153.435,0.195,1.340,0.746,0.857
10,0.042,262.500,230,216,335,0.682,1.000,0.291,11.091,2625,13,5,6,153.435,0.195,1.384,0.723,0.909
11,0.068,262.062,252,204,357,0.957,0.927,0.395,17.715,4193,14,4,6,170.538,0.260,1.340,0.746,0.842
12,0.059,259.714,216,206,328,0.865,0.993,0.350,15.362,3636,15,4,6,158.199,0.260,1.264,0.791,0.848
13,0.046,258.182,209,209,325,0.773,0.976,0.350,11.999,2840,16,5,8,21.801,0.195,1.619,0.618,0.846
14,0.051,249.000,208,208,310,0.812,0.967,0.350,12.624,2988,17,4,6,158.199,0.195,1.579,0.633,0.889
15,0.051,278.750,210,210,359,0.773,1.000,0.325,14.133,3345,18,5,5,126.870,0.260,1.281,0.780,0.857
