Time,Area,Mean,Mode,Min,Max,Perim.,Circ.,Feret,IntDen,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.004,248.000,248,248,248,0.184,1.000,0.092,1.048,248,66,8,6,135.000,0.065,1.000,1.000,1.000
2,0.004,267.000,267,267,267,0.184,1.000,0.092,1.128,267,68,8,6,135.000,0.065,1.000,1.000,1.000
3,0.008,285.500,247,247,324,0.314,1.000,0.145,2.412,571,69,8,6,116.565,0.065,2.000,0.500,1.000
4,0.008,276.500,252,252,301,0.314,1.000,0.145,2.336,553,70,8,6,116.565,0.065,2.000,0.500,1.000
5,0.004,228.000,228,228,228,0.184,1.000,0.092,0.963,228,71,8,6,135.000,0.065,1.000,1.000,1.000
6,0.008,258.500,253,253,264,0.276,1.000,0.145,2.184,517,72,8,6,153.435,0.065,2.000,0.500,1.000
7,0.008,268.000,240,240,296,0.276,1.000,0.145,2.265,536,73,8,6,153.435,0.065,2.000,0.500,1.000
8,0.004,231.000,231,231,231,0.184,1.000,0.092,0.976,231,75,8,6,135.000,0.065,1.000,1.000,1.000
9,0.004,266.000,266,266,266,0.184,1.000,0.092,1.124,266,78,8,6,135.000,0.065,1.000,1.000,1.000
10,0.004,288.000,288,288,288,0.184,1.000,0.092,1.217,288,81,8,6,135.000,0.065,1.000,1.000,1.000
11,0.021,267.000,242,240,339,0.552,0.873,0.206,5.640,1335,82,8,5,108.435,0.184,1.000,1.000,0.714
12,0.017,307.750,275,275,338,0.368,1.000,0.184,5.201,1231,83,7,5,135.000,0.130,1.000,1.000,1.000
13,0.004,249.000,249,249,249,0.184,1.000,0.092,1.052,249,84,8,6,135.000,0.065,1.000,1.000,1.000
14,0.008,260.500,240,240,281,0.314,1.000,0.145,2.201,521,85,8,5,116.565,0.065,2.000,0.500,1.000
15,0.013,260.667,233,233,308,0.368,1.000,0.184,3.304,782,86,8,8,45.000,0.130,1.464,0.683,0.857
16,0.008,257.500,248,248,267,0.314,1.000,0.145,2.176,515,87,8,5,116.565,0.065,2.000,0.500,1.000
17,0.017,263.000,234,234,299,0.368,1.000,0.184,4.445,1052,88,7,5,135.000,0.130,1.000,1.000,1.000
18,0.017,282.000,252,252,306,0.368,1.000,0.184,4.766,1128,89,7,5,135.000,0.130,1.000,1.000,1.000
19,0.025,329.167,238,238,426,0.552,1.000,0.234,8.344,1975,90,7,5,123.690,0.184,1.291,0.775,0.800
20,0.021,258.000,230,230,317,0.552,0.873,0.206,5.450,1290,91,8,5,108.435,0.184,1.000,1.000,0.714
21,0.017,251.750,232,232,284,0.460,1.000,0.206,4.255,1007,92,7,6,161.565,0.130,1.468,0.681,0.800
22,0.004,260.000,260,260,260,0.184,1.000,0.092,1.099,260,93,8,6,135.000,0.065,1.000,1.000,1.000
23,0.021,319.200,241,241,419,0.460,1.000,0.234,6.743,1596,94,7,5,146.310,0.130,1.553,0.644,0.909
24,0.017,303.750,243,243,349,0.368,1.000,0.184,5.133,1215,95,8,5,135.000,0.130,1.000,1.000,1.000
25,0.017,270.250,250,250,295,0.368,1.000,0.184,4.567,1081,96,7,5,135.000,0.130,1.000,1.000,1.000
26,0.013,265.000,253,253,283,0.368,1.000,0.184,3.359,795,97,7,7,45.000,0.130,1.464,0.683,0.857
27,0.030,330.000,262,262,468,0.552,1.000,0.276,9.760,2310,98,7,5,135.000,0.184,1.596,0.626,0.875
28,0.030,283.857,236,236,370,0.590,1.000,0.234,8.395,1987.000,99,8,5,123.690,0.195,1.069,0.936,0.875
29,0.030,354.286,254,254,508,0.590,1.000,0.234,10.478,2480,100,7,5,123.690,0.195,1.069,0.936,0.875
