Time,Area,Mean,Mode,Min,Max,Perim.,Circ.,Feret,IntDen,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.004,167.000,167,167,167,0.184,1.000,0.092,0.706,167.000,10,8,7,135.000,0.065,1.000,1.000,1.000
2,0.017,215.000,199,199,238,0.368,1.000,0.184,3.634,860.000,11,8,7,135.000,0.130,1.000,1.000,1.000
3,0.004,165.000,165,165,165,0.184,1.000,0.092,0.697,165.000,11,8,12,135.000,0.065,1.000,1.000,1.000
4,0.025,207.500,172,172,276,0.498,1.000,0.234,5.260,1245.000,12,8,7,146.310,0.130,1.500,0.667,1.000
5,0.021,193.400,162,162,215,0.498,1.000,0.234,4.086,967.000,13,8,7,123.690,0.130,1.553,0.644,0.909
6,0.025,197.833,165,165,238,0.498,1.000,0.234,5.015,1187.000,14,7,7,146.310,0.130,1.500,0.667,1.000
7,0.025,211.333,216,163,250,0.498,1.000,0.234,5.357,1268.000,15,8,7,146.310,0.130,1.500,0.667,1.000
8,0.025,202.833,167,167,250,0.498,1.000,0.234,5.142,1217.000,16,8,6,123.690,0.130,1.500,0.667,1.000
9,0.021,199.800,163,163,232,0.460,1.000,0.234,4.221,999.000,17,8,7,146.310,0.130,1.553,0.644,0.909
10,0.030,230.000,176,176,317,0.552,1.000,0.234,6.802,1610.000,18,8,6,123.690,0.195,1.069,0.936,0.875
11,0.030,220.857,166,166,271,0.628,0.943,0.291,6.532,1546.000,19,8,10,63.435,0.130,1.936,0.517,0.933
12,0.017,185.000,172,172,196,0.368,1.000,0.184,3.127,740.000,20,8,7,135.000,0.130,1.000,1.000,1.000
13,0.021,211.400,171,171,271,0.460,1.000,0.234,4.466,1057.000,21,8,9,33.690,0.130,1.553,0.644,0.909
14,0.030,247.000,191,191,376,0.590,1.000,0.234,7.305,1729.000,22,8,7,123.690,0.195,1.069,0.936,0.875
15,0.021,180.600,162,162,203,0.460,1.000,0.234,3.815,903.000,23,8,9,33.690,0.130,1.553,0.644,0.909
16,0.030,217.857,163,163,272,0.590,1.000,0.234,6.443,1525.000,24,9,6,123.690,0.195,1.069,0.936,0.875
17,0.030,286.857,177,177,412,0.590,1.000,0.234,8.484,2008.000,25,9,6,123.690,0.195,1.069,0.936,0.875
18,0.038,235.778,172,172,305,0.643,1.000,0.291,8.965,2122.000,26,8,9,26.565,0.195,1.340,0.746,0.857
19,0.051,218.500,308,163,316,0.735,1.000,0.291,11.078,2622.000,27,8,6,116.565,0.260,1.000,1.000,0.857
20,0.034,239.625,188,188,322,0.590,1.000,0.276,8.099,1917.000,28,8,6,135.000,0.195,1.229,0.814,0.941
21,0.038,234.889,165,165,308,0.682,1.000,0.291,8.932,2114.000,29,7,7,153.435,0.195,1.536,0.651,0.857
22,0.042,244.800,183,163,339,0.735,0.982,0.291,10.343,2448.000,30,7,9,26.565,0.230,1.241,0.806,0.800
23,0.055,243.538,195,165,366,0.773,1.000,0.325,13.376,3166.000,31,8,10,36.870,0.260,1.159,0.863,0.897
24,0.051,251.417,174,174,364,0.758,1.000,0.325,12.747,3017.000,32,8,6,126.870,0.195,1.333,0.750,1.000
