Time,Area,Mean,Mode,Min,Max,Perim.,Circ.,Feret,IntDen,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
25,0.063,247.533,166,166,367,0.865,1.000,0.379,15.687,3713.000,33,8,11,59.036,0.260,1.435,0.697,0.882
26,0.055,300.769,180,180,505,0.827,1.000,0.350,16.520,3910.000,34,7,9,21.801,0.260,1.287,0.777,0.812
27,0.059,341.714,453,190,693,0.812,1.000,0.368,20.212,4784.000,35,7,10,45.000,0.260,1.319,0.758,0.933
28,0.072,283.471,168,168,462,0.903,1.000,0.379,20.360,4819.000,36,7,10,30.964,0.260,1.263,0.792,0.919
29,0.063,317.667,258,182,539,0.850,1.000,0.368,20.132,4765.000,37,7,10,45.000,0.260,1.137,0.880,0.968
30,0.063,328.267,166,166,592,0.850,1.000,0.368,20.804,4924.000,38,7,10,45.000,0.260,1.137,0.880,0.968
31,0.063,288.933,167,167,450,0.865,1.000,0.379,18.311,4334.000,39,7,10,30.964,0.260,1.439,0.695,0.857
32,0.068,289.875,164,164,466,0.865,1.000,0.350,19.596,4638.000,40,7,7,158.199,0.260,1.209,0.827,0.889
33,0.063,307.467,172,172,520,0.865,1.000,0.350,19.486,4612.000,41,7,7,158.199,0.260,1.295,0.772,0.857
34,0.068,285.875,394,164,458,0.903,1.000,0.416,19.325,4574.000,42,7,10,38.660,0.260,1.568,0.638,0.914
35,0.063,331.933,173,173,686,0.865,1.000,0.350,21.036,4979.000,43,7,7,158.199,0.260,1.295,0.772,0.857
36,0.072,355.118,186,186,627,0.903,1.000,0.379,25.506,6037.000,44,7,10,30.964,0.260,1.263,0.792,0.919
37,0.059,366.500,449,184,756,0.812,1.000,0.368,21.678,5131.000,45,7,10,45.000,0.260,1.319,0.758,0.933
38,0.072,314.353,171,171,575,0.903,1.000,0.379,22.578,5344.000,46,7,10,30.964,0.260,1.263,0.792,0.919
39,0.063,318.067,163,163,565,0.865,1.000,0.350,20.157,4771.000,47,7,7,158.199,0.260,1.127,0.887,0.857
40,0.072,325.824,394,166,694,0.957,0.985,0.350,23.402,5539.000,48,8,6,111.801,0.322,1.044,0.957,0.850
41,0.068,362.750,166,166,662,0.903,1.000,0.368,24.522,5804.000,49,7,10,45.000,0.260,1.150,0.869,0.889
42,0.059,416.857,203,203,827,0.812,1.000,0.368,24.657,5836.000,50,7,10,45.000,0.260,1.319,0.758,0.933
43,0.089,337.476,327,169,547,1.049,1.000,0.411,29.943,7087.000,51,8,11,71.565,0.325,1.116,0.896,0.857
44,0.085,365.200,165,165,590,0.995,1.000,0.416,30.859,7304.000,52,7,10,38.660,0.325,1.165,0.858,0.889
45,0.080,362.158,172,172,626,0.995,1.000,0.416,29.072,6881.000,53,7,10,38.660,0.320,1.344,0.744,0.884
46,0.072,383.529,210,210,627,0.903,1.000,0.379,27.547,6520.000,54,7,10,30.964,0.260,1.263,0.792,0.919
47,0.072,382.529,180,180,677,0.903,1.000,0.379,27.475,6503.000,55,7,6,149.036,0.260,1.263,0.792,0.919
48,0.076,396.556,172,172,709,0.942,1.000,0.379,30.158,7138.000,56,7,6,149.036,0.260,1.248,0.801,0.947
49,0.085,312.900,488,162,541,0.995,1.000,0.379,26.440,6258.000,57,7,7,149.036,0.325,1.083,0.923,0.889
50,0.072,365.706,174,174,627,0.903,1.000,0.379,26.267,6217.000,58,7,7,149.036,0.260,1.263,0.792,0.919
51,0.080,309.474,173,173,557,0.957,1.000,0.379,24.843,5880.000,59,7,10,30.964,0.322,1.161,0.861,0.884
52,0.068,375.125,200,200,712,0.865,1.000,0.350,25.358,6002.000,60,7,7,158.199,0.260,1.209,0.827,0.889
53,0.085,355.250,163,163,738,0.995,1.000,0.379,30.019,7105.000,61,7,7,149.036,0.325,1.083,0.923,0.889
54,0.076,361.389,174,174,705,0.957,1.000,0.379,27.484,6505.000,62,7,7,149.036,0.322,1.130,0.885,0.857
55,0.080,381.947,164,164,640,0.995,1.000,0.379,30.661,7257.000,63,7,7,149.036,0.325,1.083,0.923,0.884
56,0.072,385.647,246,173,699,0.903,1.000,0.379,27.699,6556.000,64,7,10,30.964,0.260,1.263,0.792,0.919
57,0.076,350.722,168,168,635,0.942,1.000,0.379,26.672,6313.000,65,7,7,149.036,0.260,1.248,0.801,0.947
58,0.080,378.842,199,199,648,0.995,1.000,0.379,30.412,7198.000,66,7,6,149.036,0.325,1.111,0.900,0.884
59,0.068,415.125,164,164,908,0.865,1.000,0.350,28.062,6642.000,67,7,7,158.199,0.260,1.209,0.827,0.889
60,0.080,369.263,245,177,683,0.995,1.000,0.379,29.643,7016.000,68,7,6,149.036,0.325,1.111,0.900,0.884
61,0.085,340.100,180,167,612,1.049,0.965,0.411,28.738,6802.000,69,8,11,71.565,0.322,1.203,0.831,0.851
62,0.072,354.941,163,163,663,0.903,1.000,0.379,25.494,6034.000,70,7,6,149.036,0.260,1.263,0.792,0.919
63,0.076,387.000,180,174,862,0.957,1.000,0.379,29.431,6966.000,71,7,6,149.036,0.322,1.130,0.885,0.857
64,0.072,306.706,162,162,576,0.957,0.985,0.350,22.029,5214.000,72,9,5,111.801,0.322,1.044,0.957,0.850
65,0.072,365.118,203,171,772,0.957,0.985,0.379,26.225,6207.000,73,7,6,149.036,0.320,1.173,0.853,0.829
66,0.055,442.077,173,173,992,0.812,1.000,0.350,24.281,5747.000,74,7,7,158.199,0.195,1.622,0.617,0.929
67,0.055,408.846,193,193,792,0.812,1.000,0.350,22.456,5315.000,75,7,6,158.199,0.195,1.551,0.645,0.929
68,0.076,356.111,163,163,704,0.957,1.000,0.379,27.082,6410.000,76,7,6,149.036,0.322,1.094,0.914,0.857
69,0.068,398.625,212,180,915,0.919,1.000,0.350,26.947,6378.000,77,7,6,158.199,0.320,1.076,0.929,0.821
70,0.063,390.600,178,178,716,0.888,1.000,0.379,24.754,5859.000,78,7,6,149.036,0.195,1.667,0.600,1.000
71,0.080,343.842,200,170,700,0.957,1.000,0.379,27.602,6533.000,79,7,6,149.036,0.325,1.100,0.909,0.864
72,0.068,376.875,167,167,825,0.903,1.000,0.379,25.477,6030.000,80,7,6,149.036,0.260,1.234,0.810,0.889
73,0.072,362.176,232,172,660,0.957,0.985,0.379,26.013,6157.000,81,7,9,30.964,0.322,1.150,0.869,0.829
74,0.072,331.118,194,179,653,0.919,1.000,0.350,23.783,5629.000,82,8,5,111.801,0.322,1.044,0.957,0.850
75,0.068,380.500,167,167,792,0.903,1.000,0.379,25.722,6088.000,83,7,6,149.036,0.260,1.314,0.761,0.914
76,0.072,368.000,163,163,723,0.919,1.000,0.350,26.432,6256.000,84,8,5,111.801,0.322,1.044,0.957,0.850
77,0.059,417.071,169,169,758,0.850,1.000,0.379,24.670,5839.000,85,7,9,30.964,0.195,1.662,0.602,0.966
78,0.063,359.000,168,168,767,0.865,1.000,0.379,22.752,5385.000,86,7,9,30.964,0.260,1.439,0.695,0.857
79,0.068,395.875,189,172,854,0.919,1.000,0.350,26.761,6334.000,87,8,5,111.801,0.320,1.076,0.929,0.821
80,0.072,381.882,175,175,776,0.919,1.000,0.379,27.429,6492.000,88,7,9,30.964,0.320,1.186,0.843,0.829
81,0.068,378.875,169,169,779,0.903,1.000,0.368,25.612,6062.000,89,7,9,45.000,0.260,1.150,0.869,0.889
82,0.068,403.625,176,176,840,0.919,1.000,0.350,27.285,6458.000,90,8,5,111.801,0.320,1.076,0.929,0.821
83,0.080,333.211,173,173,621,0.957,1.000,0.379,26.748,6331.000,91,8,5,120.964,0.322,1.161,0.861,0.884
84,0.085,351.850,162,162,753,0.995,1.000,0.379,29.731,7037.000,92,7,6,149.036,0.325,1.083,0.923,0.889
85,0.076,359.611,164,164,754,0.919,1.000,0.379,27.348,6473.000,93,7,9,30.964,0.322,1.094,0.914,0.857
86,0.093,336.455,204,169,700,1.049,1.000,0.416,31.273,7402.000,94,8,11,51.340,0.325,1.147,0.872,0.863
87,0.085,363.950,164,164,718,0.957,1.000,0.379,30.754,7279.000,95,8,5,120.964,0.325,1.083,0.923,0.889
88,0.072,368.529,167,167,721,0.957,0.985,0.411,26.470,6265.000,96,6,8,18.435,0.260,1.454,0.688,0.850
89,0.068,400.812,167,167,775,0.865,1.000,0.379,27.095,6413.000,97,7,9,30.964,0.260,1.292,0.774,0.889
90,0.063,378.067,191,191,719,0.865,1.000,0.350,23.960,5671.000,98,7,6,158.199,0.260,1.186,0.843,0.882
91,0.072,374.000,162,162,785,0.942,1.000,0.379,26.863,6358.000,99,7,6,149.036,0.260,1.336,0.749,0.919
92,0.063,354.400,176,176,586,0.865,1.000,0.350,22.460,5316.000,100,7,6,158.199,0.260,1.186,0.843,0.882
93,0.072,357.118,177,177,655,0.903,1.000,0.379,25.650,6071.000,101,7,9,30.964,0.260,1.263,0.792,0.919
94,0.076,401.389,171,171,703,0.957,1.000,0.379,30.526,7225.000,102,7,6,149.036,0.325,1.196,0.836,0.837
95,0.072,345.882,191,191,670,0.919,1.000,0.350,24.843,5880.000,103,8,5,111.801,0.322,1.044,0.957,0.850
96,0.080,362.316,171,171,581,0.957,1.000,0.379,29.085,6884.000,104,7,6,149.036,0.325,1.100,0.909,0.864
97,0.089,358.190,168,168,658,0.995,1.000,0.379,31.780,7522.000,105,8,5,120.964,0.325,1.000,1.000,0.913
98,0.076,372.889,185,185,707,0.919,1.000,0.379,28.358,6712.000,106,7,9,30.964,0.322,1.094,0.914,0.857
99,0.072,385.000,188,188,786,0.903,1.000,0.379,27.653,6545.000,107,7,9,30.964,0.260,1.263,0.792,0.919
100,0.063,425.333,189,189,886,0.865,1.000,0.350,26.956,6380.000,108,7,6,158.199,0.260,1.186,0.843,0.882
101,0.068,364.438,178,178,685,0.865,1.000,0.350,24.636,5831.000,109,8,5,111.801,0.260,1.209,0.827,0.889
102,0.063,390.600,173,173,748,0.865,1.000,0.350,24.754,5859.000,110,7,6,158.199,0.260,1.186,0.843,0.882
103,0.059,382.643,166,165,827,0.812,1.000,0.325,22.633,5357.000,111,8,5,126.870,0.260,1.125,0.889,0.933
104,0.089,306.619,167,164,514,1.049,1.000,0.416,27.205,6439.000,112,7,10,38.660,0.322,1.272,0.786,0.857
105,0.072,367.471,166,166,714,0.903,1.000,0.379,26.394,6247.000,113,7,9,30.964,0.260,1.263,0.792,0.919
106,0.076,336.333,426,166,674,0.957,1.000,0.379,25.578,6054.000,114,7,9,30.964,0.320,1.220,0.819,0.857
107,0.063,399.800,182,182,774,0.865,1.000,0.350,25.337,5997.000,115,7,6,158.199,0.260,1.186,0.843,0.882
108,0.068,375.938,167,167,756,0.919,1.000,0.350,25.413,6015.000,116,7,6,158.199,0.320,1.058,0.945,0.821
109,0.068,385.062,259,165,775,0.865,1.000,0.350,26.030,6161.000,117,8,5,111.801,0.260,1.209,0.827,0.889
110,0.068,386.812,176,176,757,0.919,1.000,0.350,26.149,6189.000,118,7,6,158.199,0.320,1.058,0.945,0.821
111,0.068,417.250,170,170,854,0.919,1.000,0.379,28.206,6676.000,119,7,9,30.964,0.320,1.154,0.866,0.800
112,0.063,472.800,174,174,1011,0.865,1.000,0.350,29.964,7092.000,120,8,5,111.801,0.260,1.127,0.887,0.857
113,0.089,394.571,164,164,747,1.033,1.000,0.416,35.008,8286.000,121,7,10,38.660,0.325,1.182,0.846,0.913
114,0.072,450.706,165,165,964,0.919,1.000,0.350,32.372,7662.000,122,8,5,111.801,0.322,1.044,0.957,0.850
115,0.068,445.875,560,166,1000,0.919,1.000,0.350,30.141,7134.000,123,7,6,158.199,0.320,1.076,0.929,0.821
116,0.085,380.950,366,183,754,0.995,1.000,0.416,32.190,7619.000,124,7,10,38.660,0.322,1.282,0.780,0.909
117,0.076,425.222,267,190,828,0.957,1.000,0.379,32.338,7654.000,125,7,6,149.036,0.322,1.094,0.914,0.857
118,0.080,442.158,178,178,907,0.957,1.000,0.379,35.494,8401.000,126,7,9,30.964,0.322,1.161,0.861,0.884
119,0.097,332.000,171,163,693,1.049,1.000,0.436,32.262,7636.000,127,6,9,26.565,0.325,1.235,0.809,0.885
120,0.085,425.700,211,175,1007,0.957,1.000,0.379,35.972,8514.000,128,8,5,120.964,0.325,1.083,0.923,0.889
121,0.093,384.909,163,163,870,1.049,1.000,0.416,35.777,8468.000,129,7,10,38.660,0.325,1.149,0.870,0.863
122,0.076,425.000,171,171,935,0.957,1.000,0.379,32.321,7650.000,130,8,5,120.964,0.320,1.220,0.819,0.857
123,0.080,413.211,169,169,985,0.957,1.000,0.379,33.170,7851.000,131,8,5,120.964,0.322,1.161,0.861,0.884
124,0.080,372.368,176,176,743,0.995,1.000,0.379,29.892,7075.000,132,7,6,149.036,0.325,1.044,0.958,0.884
125,0.076,429.278,171,171,882,0.942,1.000,0.379,32.647,7727.000,133,7,6,149.036,0.260,1.218,0.821,0.947
126,0.072,425.706,168,168,849,0.919,1.000,0.350,30.576,7237.000,134,8,5,111.801,0.322,1.044,0.957,0.850
127,0.076,390.278,164,164,827,0.957,1.000,0.379,29.681,7025.000,135,8,5,120.964,0.320,1.220,0.819,0.857
128,0.080,383.526,178,178,807,0.957,1.000,0.379,30.788,7287.000,136,8,5,120.964,0.322,1.161,0.861,0.884
129,0.068,385.375,174,174,775,0.957,0.927,0.379,26.051,6166.000,137,7,6,149.036,0.291,1.326,0.754,0.800
130,0.080,419.737,176,176,733,1.011,0.987,0.411,33.694,7975.000,138,6,7,161.565,0.320,1.312,0.762,0.826
131,0.076,395.056,178,178,764,0.942,1.000,0.379,30.044,7111.000,139,7,6,149.036,0.260,1.218,0.821,0.947
132,0.080,351.632,194,163,687,1.011,0.987,0.395,28.227,6681.000,140,6,7,170.538,0.322,1.109,0.902,0.826
133,0.068,416.062,164,164,853,0.903,1.000,0.379,28.126,6657.000,141,7,10,30.964,0.260,1.233,0.811,0.914
134,0.076,371.500,181,181,659,0.942,1.000,0.379,28.253,6687.000,142,7,6,149.036,0.260,1.218,0.821,0.947
135,0.080,366.842,174,174,677,0.957,1.000,0.379,29.448,6970.000,143,8,5,120.964,0.322,1.161,0.861,0.884
136,0.072,316.471,269,163,477,0.942,1.000,0.416,22.731,5380.000,144,7,10,38.660,0.260,1.389,0.720,0.944
137,0.068,313.125,331,180,518,0.903,1.000,0.379,21.167,5010.000,145,7,10,30.964,0.260,1.233,0.811,0.914
138,0.059,368.929,263,217,598,0.812,1.000,0.325,21.822,5165.000,146,7,6,126.870,0.260,1.020,0.981,0.933
139,0.072,368.824,164,164,763,0.903,1.000,0.379,26.491,6270.000,147,7,6,149.036,0.260,1.263,0.792,0.919
140,0.068,376.875,168,168,714,0.903,1.000,0.368,25.477,6030.000,148,7,6,135.000,0.260,1.150,0.869,0.889
141,0.080,330.737,377,165,663,0.957,1.000,0.379,26.550,6284.000,149,8,5,120.964,0.322,1.161,0.861,0.884
142,0.063,344.867,167,167,550,0.850,1.000,0.368,21.856,5173.000,150,7,6,135.000,0.260,1.137,0.880,0.968
143,0.068,332.938,178,178,600,0.903,1.000,0.379,22.507,5327.000,151,7,10,30.964,0.260,1.233,0.811,0.914
144,0.063,371.800,168,168,645,0.865,1.000,0.350,23.563,5577.000,152,8,5,111.801,0.260,1.127,0.887,0.857
145,0.059,371.500,197,197,659,0.812,1.000,0.325,21.974,5201.000,153,7,6,126.870,0.260,1.020,0.981,0.933
146,0.076,317.444,170,170,502,0.957,1.000,0.379,24.142,5714.000,154,7,10,30.964,0.322,1.137,0.879,0.878
147,0.068,386.875,163,163,829,0.903,1.000,0.379,26.153,6190.000,155,7,6,149.036,0.260,1.292,0.774,0.889
148,0.080,315.263,207,175,475,0.957,1.000,0.416,25.308,5990.000,156,7,10,38.660,0.322,1.204,0.830,0.884
149,0.063,365.733,172,172,702,0.865,1.000,0.350,23.178,5486.000,157,7,6,158.199,0.260,1.186,0.843,0.882
150,0.072,380.588,193,164,788,0.919,1.000,0.350,27.336,6470.000,158,8,5,111.801,0.322,1.044,0.957,0.850
151,0.072,363.412,172,168,755,0.919,1.000,0.350,26.102,6178.000,159,8,5,111.801,0.322,1.044,0.957,0.850
152,0.080,398.526,337,177,712,0.995,1.000,0.416,31.992,7572.000,160,7,10,38.660,0.320,1.380,0.725,0.884
153,0.072,380.529,163,163,748,0.903,1.000,0.379,27.332,6469.000,161,7,10,59.036,0.260,1.263,0.792,0.919
154,0.072,369.882,163,163,697,0.919,1.000,0.350,26.567,6288.000,162,8,5,111.801,0.322,1.044,0.957,0.850
155,0.076,361.222,166,166,666,0.957,1.000,0.379,27.471,6502.000,163,7,6,149.036,0.322,1.094,0.914,0.857
156,0.080,386.842,168,168,799,0.995,1.000,0.379,31.054,7350.000,164,7,6,149.036,0.325,1.044,0.958,0.884
157,0.063,424.267,166,166,885,0.850,1.000,0.368,26.888,6364.000,165,7,10,45.000,0.260,1.137,0.880,0.968
158,0.076,387.278,172,172,732,0.957,1.000,0.379,29.452,6971.000,166,7,10,30.964,0.322,1.137,0.879,0.878
159,0.068,460.875,183,183,1120,0.942,0.958,0.379,31.155,7374.000,167,8,11,59.036,0.260,1.233,0.811,0.914
160,0.063,418.267,425,198,822,0.850,1.000,0.368,26.508,6274.000,168,7,10,45.000,0.260,1.137,0.880,0.968
161,0.072,323.941,163,163,566,0.942,1.000,0.379,23.267,5507.000,169,6,9,30.964,0.260,1.134,0.882,0.919
162,0.072,354.118,165,165,738,0.903,1.000,0.379,25.434,6020.000,170,6,9,30.964,0.260,1.263,0.792,0.919
163,0.068,324.625,191,191,560,0.865,1.000,0.350,21.945,5194.000,171,6,7,158.199,0.260,1.209,0.827,0.889
164,0.080,409.947,179,179,815,0.957,1.000,0.379,32.909,7789.000,172,6,9,30.964,0.322,1.161,0.861,0.884
165,0.072,350.000,167,167,699,0.903,1.000,0.379,25.139,5950.000,173,6,9,30.964,0.260,1.263,0.792,0.919
166,0.063,380.267,180,180,709,0.850,1.000,0.368,24.099,5704.000,174,7,10,45.000,0.260,1.137,0.880,0.968
167,0.072,370.765,164,164,707,0.942,1.000,0.379,26.630,6303.000,175,7,10,30.964,0.260,1.134,0.882,0.919
168,0.089,345.810,177,177,582,1.049,1.000,0.411,30.682,7262.000,176,6,9,18.435,0.325,1.096,0.913,0.857
169,0.080,337.158,169,169,664,0.995,1.000,0.379,27.065,6406.000,177,7,6,149.036,0.325,1.111,0.900,0.884
170,0.063,398.667,181,181,763,0.865,1.000,0.379,25.266,5980.000,178,7,10,30.964,0.260,1.392,0.718,0.882
171,0.068,348.688,181,181,579,0.903,1.000,0.379,23.571,5579.000,179,7,10,30.964,0.260,1.234,0.810,0.889
172,0.072,373.765,177,177,769,0.903,1.000,0.379,26.846,6354.000,180,6,9,30.964,0.260,1.263,0.792,0.919
173,0.068,353.125,179,164,696,0.888,1.000,0.368,23.871,5650.000,181,7,6,135.000,0.260,1.000,1.000,1.000
174,0.076,379.944,164,164,771,0.957,1.000,0.379,28.895,6839.000,182,7,10,30.964,0.320,1.220,0.819,0.857
175,0.063,401.267,178,178,695,0.865,1.000,0.379,25.430,6019.000,183,7,10,30.964,0.260,1.392,0.718,0.882
176,0.089,318.714,166,166,565,1.087,0.943,0.416,28.278,6693.000,184,6,10,38.660,0.325,1.246,0.803,0.840
177,0.080,319.684,163,163,516,0.995,1.000,0.379,25.663,6074.000,185,6,7,149.036,0.325,1.083,0.923,0.884
178,0.080,386.684,188,188,746,0.957,1.000,0.379,31.041,7347.000,186,7,10,30.964,0.322,1.161,0.861,0.884
179,0.068,412.750,675,181,824,0.942,0.958,0.379,27.902,6604.000,187,6,9,30.964,0.260,1.233,0.811,0.914
180,0.076,332.778,173,163,702,0.957,1.000,0.416,25.308,5990.000,188,7,11,38.660,0.276,1.532,0.653,0.878
181,0.106,352.480,585,165,751,1.233,0.873,0.473,37.231,8812.000,189,8,6,105.945,0.378,1.412,0.708,0.806
182,0.097,345.000,164,164,630,1.125,0.964,0.436,33.525,7935.000,190,7,6,116.565,0.325,1.256,0.796,0.885
183,0.089,332.286,170,170,624,1.087,0.943,0.416,29.482,6978.000,191,7,11,51.340,0.325,1.246,0.803,0.840
184,0.097,322.565,178,178,641,1.179,0.878,0.473,31.345,7419.000,192,8,6,105.945,0.325,1.545,0.647,0.836
185,0.089,319.571,167,167,542,1.049,1.000,0.416,28.354,6711.000,193,8,12,51.340,0.325,1.057,0.946,0.840
186,0.072,387.824,337,203,622,0.903,1.000,0.379,27.855,6593.000,194,7,11,59.036,0.260,1.263,0.792,0.919
187,0.085,363.400,198,198,672,0.995,1.000,0.416,30.707,7268.000,195,7,11,38.660,0.322,1.282,0.780,0.909
188,0.097,325.652,195,163,701,1.125,0.964,0.436,31.645,7490.000,196,8,6,116.565,0.325,1.231,0.812,0.868
189,0.106,343.720,179,177,720,1.217,0.896,0.495,36.305,8593.000,197,8,6,113.199,0.325,1.551,0.645,0.847
190,0.089,370.048,162,162,737,1.163,0.824,0.473,32.832,7771.000,198,8,6,105.945,0.260,1.544,0.647,0.857
191,0.093,312.727,167,167,726,1.179,0.840,0.495,29.068,6880.000,199,8,6,113.199,0.260,1.755,0.570,0.880
192,0.076,378.167,286,167,764,0.957,1.000,0.379,28.760,6807.000,200,7,6,120.964,0.322,1.130,0.885,0.857
193,0.068,387.500,173,162,845,0.919,1.000,0.350,26.195,6200.000,201,8,6,111.801,0.320,1.076,0.929,0.821
194,0.076,310.500,174,174,482,0.942,1.000,0.379,23.614,5589.000,202,8,6,120.964,0.260,1.248,0.801,0.947
195,0.068,384.688,165,165,869,0.903,1.000,0.379,26.005,6155.000,203,8,11,59.036,0.260,1.371,0.729,0.889
196,0.110,307.962,171,171,691,1.217,0.932,0.495,33.830,8007.000,204,8,6,113.199,0.325,1.486,0.673,0.867
197,0.097,323.435,207,167,726,1.125,0.964,0.436,31.430,7439.000,205,8,6,116.565,0.325,1.326,0.754,0.868
198,0.093,327.682,162,162,588,1.087,0.988,0.436,30.458,7209.000,206,8,6,116.565,0.325,1.055,0.948,0.846
199,0.093,317.818,178,178,588,1.049,1.000,0.436,29.541,6992.000,207,8,6,116.565,0.322,1.361,0.735,0.880
200,0.080,314.263,378,172,620,0.957,1.000,0.379,25.227,5971.000,208,7,7,149.036,0.325,1.121,0.892,0.864
201,0.118,277.464,177,164,610,1.455,0.702,0.599,32.824,7769.000,209,7,7,130.601,0.363,1.885,0.531,0.789
202,0.101,289.083,184,166,611,1.179,0.916,0.495,29.313,6938.000,210,9,6,113.199,0.325,1.446,0.692,0.857
203,0.114,319.630,174,174,624,1.217,0.967,0.495,36.462,8630.000,211,8,6,113.199,0.325,1.319,0.758,0.885
204,0.093,336.773,173,173,682,1.033,1.000,0.416,31.303,7409.000,212,7,11,38.660,0.325,1.101,0.908,0.936
205,0.089,348.238,168,168,703,0.995,1.000,0.379,30.897,7313.000,213,8,6,120.964,0.325,1.000,1.000,0.913
206,0.076,354.333,163,163,725,0.957,1.000,0.379,26.947,6378.000,214,7,10,30.964,0.322,1.130,0.885,0.857
207,0.063,378.133,296,177,745,0.903,0.976,0.350,23.964,5672.000,215,9,6,111.801,0.260,1.186,0.843,0.882
208,0.072,342.588,168,168,653,1.049,0.820,0.395,24.606,5824.000,216,9,6,99.462,0.320,1.189,0.841,0.791
209,0.068,354.125,190,190,605,0.865,1.000,0.350,23.939,5666.000,217,8,6,111.801,0.260,1.209,0.827,0.889
210,0.080,315.053,172,172,504,0.995,1.000,0.411,25.291,5986.000,218,8,6,108.435,0.260,1.343,0.744,0.884
211,0.072,337.588,169,169,722,0.903,1.000,0.379,24.247,5739.000,219,8,6,120.964,0.260,1.263,0.792,0.919
212,0.085,318.900,165,165,583,0.995,1.000,0.416,26.947,6378.000,220,7,11,38.660,0.322,1.282,0.780,0.909
213,0.055,401.923,208,208,762,0.773,1.000,0.325,22.076,5225.000,221,7,10,36.870,0.260,1.159,0.863,0.897
214,0.068,379.688,175,175,815,0.865,1.000,0.350,25.667,6075.000,222,8,6,111.801,0.260,1.209,0.827,0.889
215,0.080,293.737,230,168,578,1.363,0.543,0.555,23.580,5581.000,223,8,6,110.556,0.260,2.102,0.476,0.679
216,0.076,337.556,164,164,623,0.957,1.000,0.379,25.671,6076.000,224,6,10,30.964,0.320,1.220,0.819,0.857
217,0.055,375.615,193,193,735,0.812,1.000,0.368,20.631,4883.000,225,7,11,45.000,0.260,1.370,0.730,0.929
218,0.072,294.471,162,162,568,1.087,0.763,0.436,21.150,5006.000,226,7,7,116.565,0.320,1.488,0.672,0.773
219,0.072,343.529,167,167,685,0.903,1.000,0.379,24.674,5840.000,227,8,6,120.964,0.260,1.263,0.792,0.919
